time,open,high,low,close,volume,ticker
2019-06-17,7500,7500,7330,7330,16590,ITD
2019-06-18,7630,7630,7330,7330,15100,ITD
2019-06-19,7500,7560,7330,7500,8480,ITD
2019-06-20,7330,7430,7300,7360,7280,ITD
2019-06-21,7360,7360,7360,7360,36130,ITD
2019-06-24,7360,7530,7360,7530,44570,ITD
2019-06-25,7500,7760,7400,7760,24310,ITD
2019-06-26,7760,7860,7690,7690,2510,ITD
2019-06-27,7690,7690,7530,7530,24200,ITD
2019-06-28,7530,7530,7430,7430,28390,ITD
2019-07-01,7690,7730,7430,7560,4740,ITD
2019-07-02,7630,7660,7500,7560,8500,ITD
2019-07-03,7560,7690,7530,7690,6550,ITD
2019-07-04,7690,7690,7560,7690,31300,ITD
2019-07-05,7730,7730,7500,7560,6960,ITD
2019-07-08,7560,7690,7500,7590,23240,ITD
2019-07-09,7690,8119,7630,8119,118500,ITD
2019-07-10,8320,8320,7990,8119,40350,ITD
2019-07-11,8119,8119,7890,8020,9280,ITD
2019-07-12,7820,8020,7820,7890,37660,ITD
2019-07-15,7820,8090,7590,7890,25480,ITD
2019-07-16,7990,7990,7860,7860,5390,ITD
2019-07-17,7960,7960,7760,7820,27920,ITD
2019-07-18,7820,8150,7690,8150,15880,ITD
2019-07-19,8150,8220,8020,8150,5390,ITD
2019-07-22,7860,7960,7860,7890,19220,ITD
2019-07-23,7860,7860,7500,7500,16620,ITD
2019-07-24,7860,7860,7560,7730,13190,ITD
2019-07-25,7790,7790,7400,7690,19400,ITD
2019-07-26,7660,7690,7630,7690,3240,ITD
2019-07-29,7500,7690,7500,7690,13430,ITD
2019-07-30,7820,7820,7560,7560,14250,ITD
2019-07-31,7360,7630,7330,7560,52830,ITD
2019-08-01,7400,7690,7400,7560,16030,ITD
2019-08-02,7560,7560,7530,7530,2100,ITD
2019-08-05,7430,7560,7360,7500,18620,ITD
2019-08-06,7300,7560,7300,7430,14630,ITD
2019-08-07,7300,7760,7360,7760,58030,ITD
2019-08-08,7760,7760,7500,7560,5410,ITD
2019-08-09,7560,7560,7500,7560,4230,ITD
2019-08-12,7560,7730,7560,7560,100990,ITD
2019-08-13,7560,7790,7560,7590,23510,ITD
2019-08-14,7760,7760,7560,7590,6350,ITD
2019-08-15,7560,7630,7560,7560,2610,ITD
2019-08-16,7660,7760,7500,7760,33300,ITD
2019-08-19,7820,7820,7630,7630,4020,ITD
2019-08-20,7630,7760,7560,7630,24960,ITD
2019-08-21,7560,7690,7560,7560,36420,ITD
2019-08-22,7560,8020,7560,7760,59350,ITD
2019-08-23,7960,7960,7760,7890,2950,ITD
2019-08-26,7690,7890,7560,7890,4730,ITD
2019-08-27,7660,7960,7630,7630,18740,ITD
2019-08-28,7630,7960,7630,7960,19280,ITD
2019-08-29,7890,7920,7760,7920,7090,ITD
2019-08-30,7890,7890,7760,7820,8440,ITD
